genes,uid,snp_class,fxn_class,chr,chrpos,global_mafs,allele,clinical_significance,acc
"[1] ""KPNA1""
",55961674,snv,intron_variant,3,3:122478045," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000003.12
"[1] ""MED12L""
",11707416,snv,"intron_variant,genic_downstream_transcript_variant",3,3:151391177," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",W,,NC_000003.12
"[1] ""GAK""     ""TMEM175""
",873786,snv,"2KB_upstream_variant,upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant",4,4:931588," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""       
[13] ""ALFA""          
",Y,,NC_000004.12
"[1] ""LCORL""
",34025766,snv,intron_variant,4,4:17967188," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000004.12
"[1] ""CHRNB1""
",12600861,snv,intron_variant,17,17:7452302," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",M,,NC_000017.11
"[1] ""RETREG3""
",12951632,snv,intron_variant,17,17:42588995," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000017.11
"[1] ""UBTF""
",2269906,snv,intron_variant,17,17:44216969," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",M,,NC_000017.11
"[1] ""FAM171A2""
",850738,snv,intron_variant,17,17:44357262," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",D,,NC_000017.11
"[1] ""LINC02210-CRHR1""
",117615688,snv,intron_variant,17,17:45720942," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
 [9] ""Siberian""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000017.11
"[1] ""WNT3""     ""LRRC37A2""
",11658976,snv,"genic_downstream_transcript_variant,intron_variant",17,17:46789439," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000017.11
"[1] ""DNAH17""
",666463,snv,"intron_variant,genic_downstream_transcript_variant",17,17:78429399," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""MGP""           
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""ALFA""          
",W,benign,NC_000017.11
"[1] ""ASXL3""
",1941685,snv,intron_variant,18,18:33724354," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",B,,NC_000018.10
"[1] ""CRLS1""
",77351827,snv,intron_variant,20,20:6025395," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",Y,,NC_000020.11
"[1] ""TMEM163""
",4954162,snv,intron_variant,2,2:134681219," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",R,,NC_000002.12
"[1] ""LOC124900602""
",356228,snv,non_coding_transcript_variant,4,4:89685975," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",S,,NC_000004.12
"[1] ""SLC44A4""   ""EHMT2-AS1""
",9267659,snv,"intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant",6,6:31878457," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000006.12
,181609621,snv,,12,12:32657825," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""SGDP_PRJ""      
 [9] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",M,,NC_000012.12
"[1] ""MUC19""
",117073808,snv,intron_variant,12,12:40528770," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000012.12
"[1] ""MUC19""
",141128804,snv,intron_variant,12,12:40542837," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes""  ""GoNL""          
 [9] ""MGP""            ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000012.12
,138017112,snv,,12,12:41901977," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",S,,NC_000012.12
"[1] ""ITGA8""
",896435,snv,"3_prime_UTR_variant,genic_downstream_transcript_variant",10,10:15515407," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000010.11
"[1] ""GBF1""
",10748818,snv,"genic_upstream_transcript_variant,intron_variant",10,10:102255522," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",D,,NC_000010.11
"[1] ""BAG3""
",72840788,snv,intron_variant,10,10:119656173," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",D,,NC_000010.11
"[1] ""RNF141""
",7938782,snv,intron_variant,11,11:10537230," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",D,,NC_000011.10
"[1] ""DLG2""
",12283611,snv,"intron_variant,genic_upstream_transcript_variant,genic_downstream_transcript_variant",11,11:83776234," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",M,,NC_000011.10
,7134559,snv,,12,12:46025303," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000012.12
"[1] ""MBNL2""
",4771268,snv,"genic_upstream_transcript_variant,intron_variant",13,13:97212767," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",H,,NC_000013.11
"[1] ""MIPOL1""
",12147950,snv,"intron_variant,genic_downstream_transcript_variant",14,14:37520065," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",Y,,NC_000014.9
"[1] ""RPS6KL1""
",3742785,snv,"3_prime_UTR_variant,intron_variant,genic_downstream_transcript_variant",14,14:74906331," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",M,,NC_000014.9
,979812,snv,,14,14:87997920," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",K,,NC_000014.9
"[1] ""SYT17""        ""LOC105371114""
",6497339,snv,"intron_variant,genic_downstream_transcript_variant",16,16:19266171," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",D,,NC_000016.10
"[1] ""CD19""
",2904880,snv,"missense_variant,non_coding_transcript_variant,coding_sequence_variant",16,16:28933075," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""HapMap""         ""KOREAN""        
[13] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[17] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[21] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",S,benign,NC_000016.10
"[1] ""SETD1A""
",11150601,snv,intron_variant,16,16:30966478," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000016.10
"[1] ""NOD2""
",6500328,snv,intron_variant,16,16:50702745," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",R,,NC_000016.10
"[1] ""CASC16""
",3104783,snv,intron_variant,16,16:52602330," [1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GoNL""          
 [5] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""Vietnamese""     ""ALFA""          
",N,,NC_000016.10
,10221156,snv,,16,16:52935514," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""MGP""            ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000016.10
"[1] ""GXYLT1""
",144755950,snv,"intron_variant,genic_upstream_transcript_variant",12,12:42141601," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""SGDP_PRJ""      
 [9] ""Siberian""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000012.12
,17686238,snv,,17,17:45339907," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GoNL""           ""HapMap""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TWINSUK""        ""ALFA""          
",D,,NC_000017.11
"[1] ""LINC02210-CRHR1""
",9912362,snv,intron_variant,17,17:45706862," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",H,,NC_000017.11
"[1] ""KANSL1""
",7225002,snv,intron_variant,17,17:46111701," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOGRAPHIC""   
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",V,,NC_000017.11
,2295545,snv,,20,20:3184040," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Daghestan""     
 [5] ""Estonian""       ""GENOGRAPHIC""    ""GENOME_DK""      ""GnomAD""        
 [9] ""GoNL""           ""HGDP_Stanford""  ""HapMap""         ""KOREAN""        
[13] ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[17] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[21] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[25] ""ALFA""          
",N,,NC_000020.11
"[1] ""SNCA""
",6826785,snv,"intron_variant,genic_downstream_transcript_variant",4,4:89761323," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000004.12
,6679073,snv,,1,1:205787356," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",M,,NC_000001.11
"[1] ""MCCC1""
",2292056,snv,"genic_downstream_transcript_variant,intron_variant",3,3:183017423," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""MGP""           
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",D,benign,NC_000003.12
"[1] ""ITPKB""     ""ITPKB-IT1""
",16846351,snv,"intron_variant,genic_downstream_transcript_variant",1,1:226659011," [1] ""1000Genomes"" ""ALSPAC""      ""GoNL""        ""HapMap""      ""KOREAN""     
 [6] ""Korea1K""     ""SGDP_PRJ""    ""Siberian""    ""TOMMO""       ""TWINSUK""    
[11] ""Vietnamese""  ""ALFA""       
",B,,NC_000001.11
"[1] ""DLG2""
",12278023,snv,"intron_variant,genic_upstream_transcript_variant,genic_downstream_transcript_variant",11,11:83799074," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000011.10
"[1] ""FYN""
",1887316,snv,"intron_variant,genic_upstream_transcript_variant",6,6:111830249," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""ALFA""          
",R,,NC_000006.12
"[1] ""BST1""
",6449168,snv,"intron_variant,genic_downstream_transcript_variant",4,4:15726090," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",B,,NC_000004.12
"[1] ""SV2C""         ""LOC105379042""
",246814,snv,"intron_variant,genic_downstream_transcript_variant",5,5:76303383," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000005.10
"[1] ""MCCC1""
",2270968,snv,"missense_variant,non_coding_transcript_variant,coding_sequence_variant,intron_variant",3,3:183037421," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD_exomes""  ""GoESP""         
 [9] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
[13] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[17] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[21] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",D,benign,NC_000003.12
"[1] ""LOC124900602""
",8180209,snv,"non_coding_transcript_variant,genic_downstream_transcript_variant",4,4:89723303," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",D,,NC_000004.12
"[1] ""SLC2A13""
",1384236,snv,"genic_upstream_transcript_variant,intron_variant",12,12:40064582," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",B,,NC_000012.12
"[1] ""DLG2""
",7479949,snv,"genic_downstream_transcript_variant,genic_upstream_transcript_variant,intron_variant",11,11:83792361," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOGRAPHIC""    ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [9] ""HGDP_Stanford""  ""HapMap""         ""KOREAN""         ""Korea1K""       
[13] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""    
[17] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[21] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000011.10
"[1] ""CCDC85A""
",59330234,snv,intron_variant,2,2:56375408," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",M,,NC_000002.12
,6532194,snv,,4,4:89859751," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",N,,NC_000004.12
"[1] ""MAPT""
",8070723,snv,intron_variant,17,17:46003698," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000017.11
"[1] ""LINC00693""
",7617877,snv,intron_variant,3,3:28664273," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""     ""Qatari""        
[17] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[21] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000003.12
