MAPPED_GENE,SNP ID,DISEASE/TRAIT,CHR_ID,P-VALUE,INITIAL SAMPLE SIZE
RNF141,rs7938782,Parkinson's disease or first degree relation to individual with Parkinson's disease,11,2e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
"RNF217-AS1, NKAIN2",rs6932127,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),6,3e-06,"1,570 European ancestry tremor dominant cases, 1,259 European ancestry postural instability/gait difficulty cases"
RNU4-66P - RIMS1,rs12528068,Parkinson's disease or first degree relation to individual with Parkinson's disease,6,2e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RNU4-66P - RIMS1,rs12528068,Parkinson's disease,6,7e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
RNU6-121P - AQP10,rs35950207,Parkinson's disease progression (motor),1,5e-06,"2,848 individuals"
RNU6-472P - Y_RNA,rs4421827,Parkinson's disease,12,2e-14,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
RNU6-481P - FCGR2A,rs6658353,Parkinson's disease,1,2e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
RNU6-481P - FCGR2A,rs6658353,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,6e-12,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RNU6-835P - GPR65,rs979812,Parkinson's disease or first degree relation to individual with Parkinson's disease,14,6e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RNU7-137P - Y_RNA,rs1124933,Parkinson's disease progression (cognitive),20,8e-06,"2,788 individuals"
RORA - LINC02349,rs3889108,Parkinson's disease,15,7e-09,"20,184 European ancestry cases, 397,324 European ancestry controls"
RORA - LINC02349,rs2414739,Parkinson's disease,15,4e-14,"20,184 European ancestry cases, 397,324 European ancestry controls"
RORA - LINC02349,rs10519131,Parkinson's disease,15,1e-06,"4,238 European ancestry cases, 4,239 European ancestry controls"
RORA - LINC02349,rs2251086,Parkinson's disease,15,5e-22,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
RORA - LINC02349,rs2251086,Parkinson's disease or first degree relation to individual with Parkinson's disease,15,6e-18,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RORA - LINC02349,rs2414739,Parkinson's disease,15,1e-11,"13,708 European ancestry cases, 95,282 European ancestry controls"
RORA - LINC02349,rs2251086,Parkinson's disease,15,1e-09,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
RPL13AP21 - SLC38A1,rs7134559,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,4e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RPL13AP21 - SLC38A1,rs6582586,Parkinson's disease,12,6e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
RPL7AP67 - ZNF24TR,rs1362858,Parkinson's disease,18,1e-06,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls"
RPL7L1P15 - RNU6-667P,rs4778720,Parkinson disease and lewy body pathology,15,2e-06,"484 European ancestry cases, 1,145 European ancestry controls"
RPL9P21 - TMEM72-AS1,rs1480597,Parkinson's disease,10,2e-06,"267 European ancestry cases, 270 European ancestry controls"
RPS6KL1,rs3742785,Parkinson's disease or first degree relation to individual with Parkinson's disease,14,2e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RTL9,rs41306249,Parkinson's disease,X,1e-07,"11,142 European ancestry cases, 5,379 European ancestry proxy cases, 547,618 European ancestry controls"
RYR2,rs10495397,cognitive impairment (MMSE score) in Parkinson’s disease,1,3e-06,"347 Korean ancestry MMSE score <26 individuals, 682 Korean ancestry MMSE score >=26 individuals"
RYR3,rs148485629,Parkinson's disease progression (cognitive),15,1e-06,"2,650 European and unknown ancestry individuals"
SALL2 - RBBP4P5,rs139943801,Time to levodopa-induced-dyskinesia onset in Parkinson's disease,14,3e-07,"2,784 European ancestry individuals"
SCARB2,rs1550556,Parkinson's disease,4,1e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SCARB2,rs6825004,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,1e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SCARB2,rs6825004,Parkinson's disease,4,3e-06,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
"SCARB2, FAM47E",rs4101061,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,5e-19,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SCGB1D4 - NPM1P35,rs953169,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,11,3e-06,"172 Korean ancestry cases, 569 Korean ancestry controls"
SCN2A,rs353116,Parkinson's disease,2,3e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
SEC23IP - MIR4682,rs118117788,Parkinson's disease,10,4.0000000000000004e-23,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SEMA4A,rs41265017,Parkinson disease,1,9.999999999999999e-27,"6,868 cases, 204 controls"
SEMA4A - SLC25A44,rs35643925,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,8e-22,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SEMA4A - SLC25A44,rs35643925,Parkinson's disease,1,5e-09,"2,638 European ancestry cases, 477,380 European ancestry controls, 340 East Asian ancestry cases, 175,788 East Asian ancestry controls"
SEMA5A,rs7702187,Parkinson's disease,5,8e-06,"381 European ancestry cases, 363 European ancestry controls, 62 cases,79 controls, 1 Asian ancestry control from 443 sibships"
SETD1A,rs11150601,Parkinson's disease,16,6e-06,"4,639 Spanish ancestry cases, 2,949 Spanish ancestry controls"
SETD1A,rs1870293,Parkinson's disease,16,4.0000000000000004e-24,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SETD1A,rs11150601,Parkinson's disease or first degree relation to individual with Parkinson's disease,16,5e-20,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SH3GL2,rs13294100,Parkinson's disease,9,3e-10,"20,184 European ancestry cases, 397,324 European ancestry controls"
SH3GL2,rs13294100,Parkinson's disease or first degree relation to individual with Parkinson's disease,9,9e-18,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SH3GL2,rs2209440,Parkinson's disease,9,8e-09,"9,619 European ancestry cases, 324,522 European ancestry controls"
SH3GL2,rs10756905,Parkinson's disease,9,2e-20,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SH3GL2,rs10756907,Parkinson's disease or first degree relation to individual with Parkinson's disease,9,5e-17,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SH3GL2,rs1536076,Parkinson's disease,9,5e-07,"4,238 European ancestry cases, 4,239 European ancestry controls"
SH3GL2,rs13294100,Parkinson's disease,9,5e-13,"20,184 European ancestry cases, 397,324 European ancestry controls"
SH3GL2,rs13294100,Parkinson's disease,9,8e-21,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SHROOM3,rs4859676,Parkinson's disease,4,8e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SIPA1L2,rs10797576,Parkinson's disease,1,5e-10,"13,708 European ancestry cases, 95,282 European ancestry controls"
SIPA1L2,rs10797576,Parkinson's disease,1,2e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
SIPA1L2,rs1326293,Parkinson's disease,1,1e-17,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SIPA1L2,rs10797576,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,7e-17,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SIPA1L2,rs10797576,Parkinson's disease,1,8e-13,"20,184 European ancestry cases, 397,324 European ancestry controls"
SLC18B1,rs41286192,Parkinson's disease,6,3e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SLC28A3 - NTRK2,rs148603475,Parkinson's disease progression (cognitive),9,6e-06,"2,788 individuals"
SLC2A13,rs10877840,Parkinson's disease,12,1e-06,"4,238 European ancestry cases, 4,239 European ancestry controls"
SLC2A13,rs28370664,Parkinson's disease,12,7e-26,"20,184 European ancestry cases, 397,324 European ancestry controls"
SLC2A13,rs1384236,Parkinson's disease,12,8e-12,"779 Han Chinese ancestry cases, 13,227 Han Chinese ancestry controls"
SLC2A13,rs28370650,Parkinson's disease,12,3e-33,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SLC2A13,rs1994090,Parkinson's disease,12,3e-08,"988 Japanese ancestry cases, 2,521 Japanese ancestry controls"
SLC39A8,rs13107325,Parkinson's disease,4,7e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
SLC41A1,rs823156,Parkinson's disease,1,1e-07,"3,426 European ancestry cases, 29,624 European ancestry controls"
SLC41A1,rs708726,Parkinson's disease,1,8e-06,"496 East Asian ancestry male cases, 2,390 East Asian ancestry male controls"
SLC41A1,rs708726,Parkinson's disease,1,2e-08,"1,050 East Asian ancestry cases, 5,000 East Asian ancestry controls"
SLC50A1,rs12726330,Parkinson's disease,1,5e-08,"4,238 European ancestry cases, 4,239 European ancestry controls"
SLCO1B3,rs143371462,Parkinson's disease progression (cognitive),12,7e-07,"2,788 individuals"
SMAD4 - SRSF10P1,rs8087969,Parkinson's disease,18,5e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
SMAD4 - SRSF10P1,rs8087969,Parkinson's disease or first degree relation to individual with Parkinson's disease,18,1e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SNCA,rs356182,Parkinson's disease,4,4e-73,"13,708 European ancestry cases, 95,282 European ancestry controls"
SNCA,rs356203,Parkinson's disease (age of onset),4,2e-07,"3,997 Spanish ancestry individuals"
SNCA,rs356182,Parkinson's disease,4,5e-08,"807 Latino cases, 690 Latino controls"
SNCA,rs356219,Parkinson's disease in GBA mutation carriers,4,2e-11,"1,588 European ancestry cases, 7,584 European ancestry controls"
SNCA,rs356182,Parkinson's disease,4,4e-11,"515 South Asian ancestry cases, 1,363 South Asian ancestry controls"
SNCA,rs356182,Parkinson's disease,4,3e-53,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
SNCA,rs6826785,Parkinson's disease,4,2e-37,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
SNCA,rs356220,Parkinson's disease,4,9e-16,"1,705 European ancestry cases, 5,175 European ancestry controls"
SNCA,rs8180209,Parkinson's disease,4,9.999999999999999e-33,"779 Han Chinese ancestry cases, 13,227 Han Chinese ancestry controls"
SNCA,rs356182,Parkinson's disease,4,2e-09,"4,639 Spanish ancestry cases, 2,949 Spanish ancestry controls"
SNCA,rs356219,Parkinson's disease,4,6e-65,"2,197 cases, 2,061 controls"
SNCA,rs356182,Parkinson's disease,4,9.999999999999999e-57,"9,619 European ancestry cases, 324,522 European ancestry controls"
SNCA,rs3796661,Parkinson's disease,4,4e-13,"1,050 East Asian ancestry cases, 5,000 East Asian ancestry controls"
SNCA,rs356182,Parkinson's disease,4,4e-170,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SNCA,rs356220,Parkinson's disease,4,2e-19,"3,426 European ancestry cases, 29,624 European ancestry controls"
SNCA,rs356220,Parkinson's disease,4,3e-11,"2,000 European ancestry cases, 1,986 European ancestry controls"
SNCA,rs11931074,Parkinson's disease,4,7e-17,"988 Japanese ancestry cases, 2,521 Japanese ancestry controls"
SNCA,rs2736990,Parkinson's disease,4,2e-16,"1,713 European ancestry cases, 3,978 European ancestry controls"
SNCA,rs2736990,Parkinson's disease,4,7e-08,"1,752 European ancestry cases, 1,745 European ancestry controls"
SNCA,rs356203,Parkinson's disease (age of onset),4,2e-12,"17,996 cases"
SNCA,rs356220,Parkinson's disease,4,8e-35,"4,238 European ancestry cases, 4,239 European ancestry controls"
SNCA,rs356220,Parkinson's disease,4,6e-13,"2,638 European ancestry cases, 477,380 European ancestry controls, 340 East Asian ancestry cases, 175,788 East Asian ancestry controls"
SNCA,rs356182,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,4e-154,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SNCA,rs356220,Parkinson's disease,4,3e-08,"1,039 European ancestry cases, 1,984 European ancestry controls"
SNCA,rs1372518,Parkinson's disease,4,2e-79,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SNCA,rs5019538,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,1e-36,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SNCA,rs356220,Parkinson's disease,4,1e-09,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls"
SNCA,rs3775458,Parkinson's disease (age of onset),4,1e-06,"3,456 Chinese ancestry individuals"
SNCA,rs3796661,Parkinson's disease,4,5e-09,"554 East Asian ancestry female cases, 2,610 East Asian ancestry female controls"
SNCA,rs356203,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,5e-149,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SNCA,rs1372518,Parkinson disease (MTAG),4,3e-28,"at least 37,688 European ancestry cases, at least 18,618 European ancestry controls"
SNCA,rs356219,Parkinson disease (MTAG),4,6e-41,"at least 37,688 European ancestry cases, at least 18,618 European ancestry controls"
SNCA,rs356182,Parkinson's disease,4,5e-123,"20,184 European ancestry cases, 397,324 European ancestry controls"
SNCA,rs356182,Parkinson's disease,4,6e-08,"929 Swedish ancestry cases, 935 Swedish ancestry controls"
SNCA,rs356220,Parkinson's disease,4,3e-11,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls"
SNCA,rs356219,Parkinson's disease,4,2e-47,"5,333 European ancestry cases, 12,019 European ancestry controls"
SNCA-AS1,rs3806789,Parkinson's disease,4,9e-10,"5,167 European ancestry cases, 5,366 European ancestry controls"
SNCA-AS1,rs983361,Parkinson's disease (age of onset),4,7e-06,"17,996 cases"
SNCA-AS1,rs983361,Parkinson's disease,4,6e-09,"5,167 European ancestry cases, 5,366 European ancestry controls"
SNCA-AS1 - MMRN1,rs6532194,Parkinson's disease,4,5e-11,"2,197 cases, 2,061 controls"
SNCA-AS1 - MMRN1,rs6532197,Parkinson's disease,4,1e-07,"1,713 European ancestry cases, 3,978 European ancestry controls"
SNX29,rs150380018,Motor fluctuations in levodopa treated Parkinson's disease,16,8e-06,"219 Korean ancestry cases, 522 Korean ancestry controls"
SP1,rs34656641,Parkinsonism in frontotemporal lobe dementia,12,8e-06,"184 European ancestry cases, 198 European ancestry controls"
SPATA19 - IGSF9B,rs329648,Parkinson's disease,11,1e-13,"20,184 European ancestry cases, 397,324 European ancestry controls"
SPATA19 - IGSF9B,rs329648,Parkinson's disease,11,1e-11,"13,708 European ancestry cases, 95,282 European ancestry controls"
SPPL2B,rs55818311,Parkinson's disease or first degree relation to individual with Parkinson's disease,19,4e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SPPL2B,rs55818311,Parkinson's disease,19,1e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SPTSSB,rs1450522,Parkinson's disease,3,6e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
SPTSSB,rs67460515,Parkinson's disease,3,1e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
SPTSSB,rs1450522,Parkinson's disease or first degree relation to individual with Parkinson's disease,3,5e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SQOR - MTND5P40,rs17554587,Parkinson's disease progression (composite),15,3e-06,"2,755 individuals"
SREBF1,rs11868035,Parkinson's disease,17,6e-08,"3,426 European ancestry cases, 29,624 European ancestry controls"
STAP1,rs2242330,Parkinson's disease,4,2e-06,"267 European ancestry cases, 270 European ancestry controls"
STK10,rs77462941,Motor fluctuations in levodopa treated Parkinson's disease,5,9e-06,"219 Korean ancestry cases, 522 Korean ancestry controls"
STK39 - RN7SL813P,rs2102808,Parkinson's disease,2,4e-10,"5,333 European ancestry cases, 12,019 European ancestry controls"
STK39 - RN7SL813P,rs4667572,Parkinson's disease,2,4e-13,"20,184 European ancestry cases, 397,324 European ancestry controls"
STK39 - RN7SL813P,rs13016703,Parkinson's disease,2,3e-16,"9,619 European ancestry cases, 324,522 European ancestry controls"
STK39 - RN7SL813P,rs1474055,Parkinson's disease or first degree relation to individual with Parkinson's disease,2,3e-39,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
STK39 - RN7SL813P,rs9917256,Parkinson's disease,2,3e-06,"4,238 European ancestry cases, 4,239 European ancestry controls"
STK39 - RN7SL813P,rs1474055,Parkinson's disease,2,1e-20,"13,708 European ancestry cases, 95,282 European ancestry controls"
STK39 - RN7SL813P,rs1474055,Parkinson's disease,2,6e-26,"20,184 European ancestry cases, 397,324 European ancestry controls"
STK39 - RN7SL813P,rs12987123,Parkinson's disease,2,3.9999999999999995e-42,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
STX1B,rs140820592,Parkinson's disease,16,1e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
SULT1C2,rs13424530,Parkinson's disease progression (composite),2,4e-06,"2,755 individuals"
SV2C,rs246814,Parkinson's disease,5,6e-10,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
SV2C,rs246815,Parkinson's disease,5,3e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SYBU,rs6469271,Parkinson's disease,8,2e-07,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
SYT17,rs11343,Parkinson's disease,16,1e-08,"9,619 European ancestry cases, 324,522 European ancestry controls"
SYT17,rs11343,Parkinson's disease,16,9e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
SYT17,rs6497339,Parkinson's disease or first degree relation to individual with Parkinson's disease,16,3e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
SYT4 - RNA5SP455,rs75344947,Parkinson's disease,18,9e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
TBC1D5,rs73038319,Parkinson's disease or first degree relation to individual with Parkinson's disease,3,6e-13,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
TBC1D5,rs4073221,Parkinson's disease,3,2e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
TBC1D5,rs13078687,Parkinson's disease,3,9e-09,"20,184 European ancestry cases, 397,324 European ancestry controls"
TBC1D5,rs1108439,Parkinson's disease,3,2e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
TCEANC2,rs10788972,Parkinson disease and lewy body pathology,1,6e-08,"484 European ancestry cases, 1,145 European ancestry controls"
TCIM - SIRLNT,rs10958605,Parkinson's disease (motor and cognition),8,2e-06,443 European ancestry cases
TEKT4 - MTCO1P48,rs187989831,Parkinson's disease,2,8e-10,"5,167 European ancestry cases, 5,366 European ancestry controls"
THSD4,rs4128840,Parkinson's disease progression (motor),15,8e-06,"2,848 individuals"
TIAL1 - RAD1P1,rs188789342,Parkinson's disease,10,3e-11,"9,619 European ancestry cases, 324,522 European ancestry controls"
"TMC3, TMC3-AS1",rs3935740,Parkinson's disease,15,2e-07,"31 Amish cases, 767 Amish controls"
TMC5,rs78926797,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),16,2e-06,"1,570 European ancestry tremor dominant cases, 1,259 European ancestry postural instability/gait difficulty cases"
TMEM108,rs138073281,Parkinson's disease progression (cognitive),3,2e-08,"2,650 European and unknown ancestry individuals"
TMEM132C,rs1531246,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,12,2e-06,"172 Korean ancestry cases, 569 Korean ancestry controls"
TMEM158 - U3,rs118109628,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,3,4e-06,"172 Korean ancestry cases, 569 Korean ancestry controls"
TMEM163,rs57891859,Parkinson's disease or first degree relation to individual with Parkinson's disease,2,5e-14,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
TMEM163,rs4954162,Parkinson's disease or first degree relation to individual with Parkinson's disease,2,2e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
TMEM163,rs57891859,Parkinson's disease,2,5e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
TMEM175,rs34311866,Parkinson's disease,4,7e-06,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
TMEM175,rs34311866,Parkinson's disease,4,1e-43,"13,708 European ancestry cases, 95,282 European ancestry controls"
TMEM175,rs34311866,Parkinson's disease,4,9.999999999999999e-51,"20,184 European ancestry cases, 397,324 European ancestry controls"
TMEM175,rs34311866,Parkinson's disease,4,3e-07,"4,639 Spanish ancestry cases, 2,949 Spanish ancestry controls"
TMEM175,rs34311866,Parkinson's disease,4,5.000000000000001e-75,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
TMEM175,rs6599389,Parkinson's disease,4,4e-08,"3,426 European ancestry cases, 29,624 European ancestry controls"
TMEM175,rs34311866,Parkinson's disease,4,3e-06,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
TMEM175,rs34884217,Parkinson's disease,4,1e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
TMEM175,rs34311866,Parkinson's disease,4,6e-11,"5,167 European ancestry cases, 5,366 European ancestry controls"
TMEM175,rs34311866,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,1e-69,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
TMEM175,rs34311866,Parkinson's disease (age of onset),4,1e-08,"17,996 cases"
TMEM175,rs6599388,Parkinson's disease,4,4e-12,"5,333 European ancestry cases, 12,019 European ancestry controls"
TMEM229B,rs1555399,Parkinson's disease,14,7e-14,"13,708 European ancestry cases, 95,282 European ancestry controls"
TMEM229B,rs1555399,Parkinson's disease,14,1e-10,"20,184 European ancestry cases, 397,324 European ancestry controls"
TMPRSS9,rs62120679,Parkinson's disease,19,7e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
TMPRSS9,rs62120679,Parkinson's disease,19,6e-07,"13,708 European ancestry cases, 95,282 European ancestry controls"
TPI1P1 - RNU6-161P,rs988295487,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),1,5e-06,"1,570 European ancestry tremor dominant cases, 1,259 European ancestry postural instability/gait difficulty cases"
TPM1,rs117267308,"Parkinson's disease (familial, age at onset)",15,9e-11,431 European ancestry cases
TPM1 - LACTB,rs1027647,Parkinson's disease,15,2e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
TRAPPC2L - PABPN1L,rs12921479,Parkinson disease and lewy body pathology,16,9e-07,"484 European ancestry cases, 1,145 European ancestry controls"
TRIM40,rs9261484,Parkinson's disease or first degree relation to individual with Parkinson's disease,6,2e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
TRIM46,rs114525519,Parkinson disease,1,9e-60,"6,868 cases, 204 controls"
TRPM2,rs56379273,Parkinson's disease,21,9e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
